"slug","title_en","title_fr","title_ar","excerpt_en","excerpt_fr","excerpt_ar","tags","sources","source_url","apply_url","image_url","image_name","langs","published_at","extracted_at","deadline","rubrique_website","themes","organizations","eligibility_criteria","content_en","content_fr","content_ar","content_html"
"fonds-culturel-franco-allemand-kznbhg","","Fonds culturel franco-allemand","","","Le Fonds culturel franco-allemand soutient des initiatives de coopération culturelle conduites dans des pays tiers par les réseaux diplomatiques et cu...","","
                        Architecture
                                Arts visuels
                                Photographie
                                Cinéma
                                Débat d'idées
                                Sciences
                                Design
                                Métiers d'art
                                Langue française
                                Livre
                                Mode
                                Musique
                                Création numérique
                                Théâtre
                                Danse
                                Arts de la rue / Cirque / Marionnette
                  ","https://www.pro.institutfrancais.com/fr/offre/fonds-culturel-franco-allemand","https://www.pro.institutfrancais.com/fr/offre/fonds-culturel-franco-allemand","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/fond-franco-allemand-web-logo.jpg?h=3eb37752&itok=3juUqLA4","","FR","15/04/2025","2025-05-13 16:43:12","15/04/2025","open-calls","education","","","","Le Fonds culturel franco-allemand soutient des initiatives de coopération culturelle conduites dans des pays tiers par les réseaux diplomatiques et culturels français et allemands.
Le dépôt des candidatures est clos","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">Le Fonds culturel franco-allemand soutient des initiatives de coopération culturelle conduites dans des pays tiers par les réseaux diplomatiques et culturels français et allemands.</div><div class=candidature-wrapper><div class=date-wrapper>Le dépôt des candidatures est clos</div><div class=link-wrapper></div><div class=modalites-wrapper></div></div></div>"
"aoca-appui-aux-operateurs-culturels-en-afrique-ayhdvl","","AOCA - Appui aux opérateurs culturels en Afrique","","","Ce dispositif d’aide à projets a pour but d’accompagner les artistes et opérateurs culturels de la société civile en Afrique, ainsi que le réseau cult...","","","https://www.pro.institutfrancais.com/fr/offre/aoca-appui-aux-operateurs-culturels-en-afrique","https://www.pro.institutfrancais.com/fr/offre/aoca-appui-aux-operateurs-culturels-en-afrique","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/Vagabundus_Idio_Chichava.jpg?h=ddf7fc32&itok=Aco2L18L","","FR","06/03/2025","2025-05-13 16:43:13","06/03/2025","open-calls","education","","","","Ce dispositif d’aide à projets a pour but d’accompagner les artistes et opérateurs culturels de la société civile en Afrique, ainsi que le réseau culturel français en appuyant des projets de création et de diffusion ainsi que des grandes manifestations présentant une dimension régionale sur le Continent.","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">Ce dispositif d’aide à projets a pour but d’accompagner les artistes et opérateurs culturels de la société civile en Afrique, ainsi que le réseau culturel français en appuyant des projets de création et de diffusion ainsi que des grandes manifestations présentant une dimension régionale sur le Continent.</div><div class=candidature-wrapper><div class=date-wrapper></div><div class=link-wrapper></div><div class=modalites-wrapper></div></div></div>"
"fonds-langue-francaise-knpryi","","Fonds langue française","","","Le Fonds Langue française vise à soutenir des projets pilotes destinés à promouvoir la langue française et à la rendre attractive. Ces projets doivent...","","
                        Langue française
                  ","https://www.pro.institutfrancais.com/fr/offre/fonds-langue-francaise","https://www.pro.institutfrancais.com/fr/offre/fonds-langue-francaise","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/neonbrand-426918-unsplash.jpg?h=1b26db70&itok=wHvLA4y9","","FR","28/08/2024","2025-05-13 16:43:15","28/08/2024","open-calls","education","","","","Le Fonds Langue française vise à soutenir des projets pilotes destinés à promouvoir la langue française et à la rendre attractive. Ces projets doivent prendre place au sein d’écosystèmes éducatifs, culturels, économiques locaux, en lien avec des partenaires francophones.
Ouvert aux membres du réseau culturel français à l’étranger, il soutient des projets thématiques au bénéfice des publics suivants : les apprenants et futurs apprenants de français, les professeurs et futurs professeurs de français, les cadres éducatifs et le grand public.
En 2025, trois orientations thématiques sont proposées.","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">Le Fonds Langue française vise à soutenir des projets pilotes destinés à promouvoir la langue française et à la rendre attractive. Ces projets doivent prendre place au sein d’écosystèmes éducatifs, culturels, économiques locaux, en lien avec des partenaires francophones.<br> Ouvert aux membres du réseau culturel français à l’étranger, il soutient des projets thématiques au bénéfice des publics suivants : les apprenants et futurs apprenants de français, les professeurs et futurs professeurs de français, les cadres éducatifs et le grand public.<br> En 2025, trois orientations thématiques sont proposées.</div></div>"
"pavillon-francais-a-la-biennale-de-venise-appui-a-la-programmation-du-reseau-jnmqru","","Pavillon français à la Biennale de Venise : appui à la programmation du réseau","","","Opérateur du ministère de l’Europe et des Affaires étrangères et du ministère de la Culture pour le Pavillon français aux Biennales d’art et d’archite...","","
                        Architecture
                                Arts visuels
                  ","https://www.pro.institutfrancais.com/fr/offre/pavillon-francais-a-la-biennale-de-venise-appui-a-la-programmation-du-reseau","https://www.pro.institutfrancais.com/fr/offre/pavillon-francais-a-la-biennale-de-venise-appui-a-la-programmation-du-reseau","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/pavillon_francais_venise_LIVING_WITH.png?h=8f74817f&itok=p9yhYs6G","","FR","13/05/2025","2025-05-13 16:43:16","13/05/2025","open-calls","education","","","","Opérateur du ministère de l’Europe et des Affaires étrangères et du ministère de la Culture pour le Pavillon français aux Biennales d’art et d’architecture de Venise, l’Institut français souhaite encourager la programmation dans le réseau culturel français à l’étranger « d’échos » aux projets présentés et aux thématiques et aux enjeux qu’ils portent.
À cette fin, l’Institut français propose un « kit » de ressources, destiné aux Instituts français, Alliances françaises et Services de coopération et d’action culturelle (SCAC). Ce kit rassemble des contenus variés et des pistes de programmation en lien avec le Pavillon français.","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">Opérateur du ministère de l’Europe et des Affaires étrangères et du ministère de la Culture pour le Pavillon français aux Biennales d’art et d’architecture de Venise, l’Institut français souhaite encourager la programmation dans le réseau culturel français à l’étranger « d’échos » aux projets présentés et aux thématiques et aux enjeux qu’ils portent.<br><br> À cette fin, l’Institut français propose un « kit » de ressources, destiné aux Instituts français, Alliances françaises et Services de coopération et d’action culturelle (SCAC). Ce kit rassemble des contenus variés et des pistes de programmation en lien avec le Pavillon français.</div></div>"
"des-mots-a-la-scene-ahstav","","Des mots à la scène","","","Des Mots à la Scène est une initiative conçue pour soutenir et promouvoir les écritures dramaturgiques contemporaines francophones.
Ce fonds de produc...","","
                        Théâtre
                  ","https://www.pro.institutfrancais.com/fr/offre/des-mots-a-la-scene","https://www.pro.institutfrancais.com/fr/offre/des-mots-a-la-scene","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/lekiplalanbik_le_corps_de_jesus.jpg?h=1d5992ce&itok=OkwjO7Mh","","FR","29/10/2024","2025-05-13 16:43:17","29/10/2024","open-calls","education","","","","Des Mots à la Scène est une initiative conçue pour soutenir et promouvoir les écritures dramaturgiques contemporaines francophones.
Ce fonds de production vise à mettre en lumière des auteurs et des œuvres souvent méconnus ou rarement joués, en facilitant la création de nouvelles mises en scène.
Des Mots à la Scène poursuit plusieurs objectifs clés :
1.	Valoriser les auteurs émergents : Le fonds s'attache particulièrement aux auteurs dont les œuvres n'ont pas encore trouvé une large audience, permettant ainsi la découverte de nouvelles voix et perspectives dans le domaine dramaturgique francophone.
2.	Stimuler la création et la production : En fournissant un soutien financier et logistique, le fonds encourage la mise en scène de nouvelles pièces, contribuant ainsi à l'enrichissement du répertoire théâtral francophone.
3.	Renforcer la diversité culturelle : Le programme vise à refléter la diversité de la francophonie en soutenant des projets provenant de différentes régions et communautés francophones, notamment celles d'Afrique, des territoires ultramarins, et de la diaspora francophone en France.
Le dépôt des candidatures est clos","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">Des Mots à la Scène est une initiative conçue pour soutenir et promouvoir les écritures dramaturgiques contemporaines francophones. <br> Ce fonds de production vise à mettre en lumière des auteurs et des œuvres souvent méconnus ou rarement joués, en facilitant la création de nouvelles mises en scène.<br><br> Des Mots à la Scène poursuit plusieurs objectifs clés :<br> 1. Valoriser les auteurs émergents : Le fonds s'attache particulièrement aux auteurs dont les œuvres n'ont pas encore trouvé une large audience, permettant ainsi la découverte de nouvelles voix et perspectives dans le domaine dramaturgique francophone.<br> 2. Stimuler la création et la production : En fournissant un soutien financier et logistique, le fonds encourage la mise en scène de nouvelles pièces, contribuant ainsi à l'enrichissement du répertoire théâtral francophone.<br> 3. Renforcer la diversité culturelle : Le programme vise à refléter la diversité de la francophonie en soutenant des projets provenant de différentes régions et communautés francophones, notamment celles d'Afrique, des territoires ultramarins, et de la diaspora francophone en France.<br></div><div class=candidature-wrapper><div class=date-wrapper>Le dépôt des candidatures est clos</div><div class=link-wrapper></div><div class=modalites-wrapper></div></div></div>"
"fonds-mediatheques-vdknfz","","Fonds médiathèques","","","Le Fonds Médiathèques favorise la modernisation des médiathèques du réseau, pour en faire des lieux de culture et de savoir, mais aussi de pratiques c...","","
                        Livre
                  ","https://www.pro.institutfrancais.com/fr/offre/fonds-mediatheques","https://www.pro.institutfrancais.com/fr/offre/fonds-mediatheques","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/gabriel-sollmann-704393-unsplash.jpg?h=9b013058&itok=SbS51wps","","FR","06/03/2025","2025-05-13 16:43:17","06/03/2025","open-calls","education","","","","Le Fonds Médiathèques favorise la modernisation des médiathèques du réseau, pour en faire des lieux de culture et de savoir, mais aussi de pratiques collaboratives et d’innovation, au cœur des établissements culturels que sont les Instituts français et les Alliances françaises.","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">Le Fonds Médiathèques favorise la modernisation des médiathèques du réseau, pour en faire des lieux de culture et de savoir, mais aussi de pratiques collaboratives et d’innovation, au cœur des établissements culturels que sont les Instituts français et les Alliances françaises.</div></div>"
"expertise-mediatheques-jdgviy","","Expertise médiathèques","","","Les Expertises Médiathèques ont pour objet d’accompagner la modernisation des médiathèques du réseau culturel français à l’étranger (Instituts françai...","","
                        Livre
                  ","https://www.pro.institutfrancais.com/fr/offre/expertise-mediatheques","https://www.pro.institutfrancais.com/fr/offre/expertise-mediatheques","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/chuttersnap_unsplash.jpg?h=b2774bcf&itok=rdpamiXN","","FR","06/03/2025","2025-05-13 16:43:18","06/03/2025","open-calls","education","","","","Les Expertises Médiathèques ont pour objet d’accompagner la modernisation des médiathèques du réseau culturel français à l’étranger (Instituts français et Alliances Françaises) et leur évolution vers des lieux attractifs, transdisciplinaires et porteurs d’innovation.","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">Les Expertises Médiathèques ont pour objet d’accompagner la modernisation des médiathèques du réseau culturel français à l’étranger (Instituts français et Alliances Françaises) et leur évolution vers des lieux attractifs, transdisciplinaires et porteurs d’innovation.</div></div>"
"formation-des-agents-du-reseau-culturel-francais-plan-dappui-a-la-formation-paf-oixlzf","","Formation des agents du réseau culturel français : Plan d’appui à la formation (PAF)","","","Le Plan d’appui à la Formation (PAF) est un appel à projets destiné à soutenir la formation des personnels du réseau (expatriés, ADL, volontaires inte...","","","https://www.pro.institutfrancais.com/fr/offre/formation-des-agents-du-reseau-culturel-francais-plan-appui-a-la-formation-paf","https://www.pro.institutfrancais.com/fr/offre/formation-des-agents-du-reseau-culturel-francais-plan-appui-a-la-formation-paf","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/ateliers_geographiques.png?h=19f14c2c&itok=t0dd7_TA","","FR","06/03/2025","2025-05-13 16:43:19","06/03/2025","open-calls","education","","","","Le Plan d’appui à la Formation (PAF) est un appel à projets destiné à soutenir la formation des personnels du réseau (expatriés, ADL, volontaires internationaux, CRSP) exerçant dans les services de coopération et d’action culturelle, les Instituts français, les Alliances Françaises et les centres binationaux.","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">Le Plan d’appui à la Formation (PAF) est un appel à projets destiné à soutenir la formation des personnels du réseau (expatriés, ADL, volontaires internationaux, CRSP) exerçant dans les services de coopération et d’action culturelle, les Instituts français, les Alliances Françaises et les centres binationaux.</div></div>"
"exposition-escape-generations-numeriques-wqhoze","","Exposition : Escape, générations numériques","","","L’Institut français propose au réseau culturel français et à ses partenaires une nouvelle exposition dédiée aux grands enjeux contemporains du numériq...","","
                        Création numérique
                  ","https://www.pro.institutfrancais.com/fr/offre/exposition-escape-generations-numeriques","https://www.pro.institutfrancais.com/fr/offre/exposition-escape-generations-numeriques","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/escape-page-programme_2.jpg?h=6c439f93&itok=H5lRY4ol","","FR","05/02/2025","2025-05-13 16:43:20","05/02/2025","open-calls","education","","","","L’Institut français propose au réseau culturel français et à ses partenaires une nouvelle exposition dédiée aux grands enjeux contemporains du numérique. Fort de l’intérêt suscité par une première offre dans ce format ces deux dernières années, Escape, générations numériques invite à une découverte pédagogique et ludique des cultures numériques, à travers une vingtaine de créations mêlant œuvres d’art numérique, jeux vidéo et expériences en réalité virtuelle.
Cette offre est disponible à la circulation dans les établissements du réseau culturel et ceux de leurs partenaires à partir de novembre 2024 pour une durée de deux ans. Elle est accompagnée de nombreuses suggestions d’ateliers et de pistes de médiation pour tous les publics.
Appel à candidature ouvert jusqu'au 30/12/2025
Candidater","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">L’Institut français propose au réseau culturel français et à ses partenaires une nouvelle exposition dédiée aux grands enjeux contemporains du numérique. Fort de l’intérêt suscité par une première offre dans ce format ces deux dernières années, Escape, générations numériques invite à une découverte pédagogique et ludique des cultures numériques, à travers une vingtaine de créations mêlant œuvres d’art numérique, jeux vidéo et expériences en réalité virtuelle. <br> Cette offre est disponible à la circulation dans les établissements du réseau culturel et ceux de leurs partenaires à partir de novembre 2024 pour une durée de deux ans. Elle est accompagnée de nombreuses suggestions d’ateliers et de pistes de médiation pour tous les publics.</div><div class=candidature-wrapper><div class=date-wrapper>Appel à candidature ouvert jusqu'au <em>30/12/2025</em></div><div class=link-wrapper><a href=""https://ifprog.emundus.fr/fr/campagne-info?view=programme&cid=281"" class=candidature-link target=_blank>Candidater</a></div><div class=modalites-wrapper></div></div></div>"
"programme-d-aide-a-la-publication-pap-cession-de-droits-xyekjc","","Programme d'aide à la publication (PAP) - cession de droits","","","Centré sur la cession de droits, le Programme d'aide à la publication de l’Institut français de Paris (PAP) soutient le travail et l’implication des m...","","
                        Livre
                  ","https://www.pro.institutfrancais.com/fr/offre/programme-aide-a-la-publication-cession-de-droits","https://www.pro.institutfrancais.com/fr/offre/programme-aide-a-la-publication-cession-de-droits","","https://site-institutionnel.cdn.institutfrancais.com/files/styles/desktop_home_if_slider_paralax/public/medias/images/pap_0.jpg?h=fe6e8f24&itok=aU7C6KyI","","FR","01/04/2025","2025-05-13 16:43:21","01/04/2025","open-calls","education","","","","Centré sur la cession de droits, le Programme d'aide à la publication de l’Institut français de Paris (PAP) soutient le travail et l’implication des maisons d’édition étrangères qui mènent une politique de publication de titres traduits du français, rendant ainsi possible l’accès d’un public non francophone à la création et la pensée françaises contemporaines.
Il constitue un support pour la programmation des Instituts français dans le monde et de leurs partenaires locaux, en complément des Programmes d’aide à la publication locaux gérés par les Bureaux du livre.
Depuis 1990, l'ensemble de ces programmes a permis de contribuer à la publication de près de 26 000 titres d’auteurs français dans 80 pays.
Le dépôt des candidatures est clos
Modalités
Le dépôt de candidature se fait sur la plateforme IFprog.
Nous vous invitons à consulter le règlement du dispositif pour connaître les étapes à suivre pour candidater.
Pour toute question à laquelle le règlement du dispositif n’aurait pas répondu, veuillez vous adresser à pap@institutfrancais.com.","","<div class=wrapper-zone-appel-candidature><div class=""field field--name-field-chapo-brut field--type-string-long field--label-hidden field__item"">Centré sur la cession de droits, le Programme d'aide à la publication de l’Institut français de Paris (PAP) soutient le travail et l’implication des maisons d’édition étrangères qui mènent une politique de publication de titres traduits du français, rendant ainsi possible l’accès d’un public non francophone à la création et la pensée françaises contemporaines.<br> Il constitue un support pour la programmation des Instituts français dans le monde et de leurs partenaires locaux, en complément des Programmes d’aide à la publication locaux gérés par les Bureaux du livre. <br> Depuis 1990, l'ensemble de ces programmes a permis de contribuer à la publication de près de 26 000 titres d’auteurs français dans 80 pays.</div><div class=candidature-wrapper><div class=date-wrapper>Le dépôt des candidatures est clos</div><div class=link-wrapper></div><div class=modalites-wrapper><div class=modalites-toggle><span class=ico-toggle></span>Modalités</div><div class=modalites><div><p>Le dépôt de candidature se fait sur la plateforme IFprog.</p></div><p>Nous vous invitons à consulter le règlement du dispositif pour connaître les étapes à suivre pour candidater.<br> Pour toute question à laquelle le règlement du dispositif n’aurait pas répondu, veuillez vous adresser à <a href=mailto:pap@institutfrancais.com>pap@institutfrancais.com</a>.</p></div></div></div></div>"
